station_id,station_type,access_mode,port_name,equipment_id,address,slide_mm,cad_x,cad_y,cad_z,draw_x,draw_y
5268,DUAL_ACCESS,UNIVERSAL,4PMC2201_3,4PMC2201,4826,597,66665.176,-138980.35516733333,0.0,7463.666597136005,2191.027400363324
5267,DUAL_ACCESS,UNIVERSAL,4PMC2201_4,4PMC2201,4825,1494,66665.176,-139027.02183399998,0.0,7463.666597136005,2237.694067029981
5266,DUAL_ACCESS,UNIVERSAL,4PMC2202_1,4PMC2202,4801,1377,66665.176,-139085.85516733333,0.0,7463.666597136005,2296.527400363324
5265,DUAL_ACCESS,UNIVERSAL,4PMC2202_2,4PMC2202,4801,873,66665.176,-139085.85516733333,0.0,7463.666597136005,2296.527400363324
5264,DUAL_ACCESS,UNIVERSAL,4PMC2202_3,4PMC2202,4801,369,66665.176,-139085.85516733333,0.0,7463.666597136005,2296.527400363324
5263,DUAL_ACCESS,UNIVERSAL,4PMC2202_4,4PMC2202,4800,1864,66665.176,-139152.52183399998,0.0,7463.666597136005,2363.194067029981
5262,DUAL_ACCESS,UNIVERSAL,4PMC2203_1,4PMC2203,4799,1557,66665.176,-139205.5944339,0.0,7463.666597136005,2416.2666669299942
5261,DUAL_ACCESS,UNIVERSAL,4PMC2203_2,4PMC2203,4799,1048,66665.176,-139205.5944339,0.0,7463.666597136005,2416.2666669299942
5260,DUAL_ACCESS,UNIVERSAL,4PMC2203_3,4PMC2203,4799,537,66665.176,-139205.5944339,0.0,7463.666597136005,2416.2666669299942
5259,DUAL_ACCESS,UNIVERSAL,4PMC2203_4,4PMC2203,4798,1144,66665.176,-139242.92781017002,0.0,7463.666597136005,2453.6000432000146
10362,DUAL_ACCESS,UNIVERSAL,4PMC2204_1,4PMC2204,4791,1045,66665.176,-139298.59447683668,0.0,7463.666597136005,2509.2667098666716
10361,DUAL_ACCESS,UNIVERSAL,4PMC2204_2,4PMC2204,4791,537,66665.176,-139298.59447683668,0.0,7463.666597136005,2509.2667098666716
5257,DUAL_ACCESS,UNIVERSAL,4PMC2204_3,4PMC2204,4790,1560,66665.176,-139349.70410678,0.0,7463.666597136005,2560.376339809998
5256,DUAL_ACCESS,UNIVERSAL,4PMC2204_4,4PMC2204,4790,1051,66665.176,-139349.70410678,0.0,7463.666597136005,2560.376339809998
5255,DUAL_ACCESS,UNIVERSAL,4PMC2204_5,4PMC2204,4790,541,66665.176,-139349.70410678,0.0,7463.666597136005,2560.376339809998
5254,DUAL_ACCESS,UNIVERSAL,4PMC2205_1,4PMC2205,4788,1862,66665.176,-139455.20410678,0.0,7463.666597136005,2665.876339809998
5253,DUAL_ACCESS,UNIVERSAL,4PMC2205_2,4PMC2205,4788,1356,66665.176,-139455.20410678,0.0,7463.666597136005,2665.876339809998
5252,DUAL_ACCESS,UNIVERSAL,4PMC2205_3,4PMC2205,4788,848,66665.176,-139455.20410678,0.0,7463.666597136005,2665.876339809998
5251,DUAL_ACCESS,UNIVERSAL,4PMC2205_4,4PMC2205,4788,342,66665.176,-139455.20410678,0.0,7463.666597136005,2665.876339809998
5246,DUAL_ACCESS,UNIVERSAL,4PMC2207_1,4PMC2207,4784,896,66665.176,-139645.37077344666,0.0,7463.666597136005,2856.043006476655
5245,DUAL_ACCESS,UNIVERSAL,4PMC2207_2,4PMC2207,4784,388,66665.176,-139645.37077344666,0.0,7463.666597136005,2856.043006476655
5244,DUAL_ACCESS,UNIVERSAL,4PMC2207_3,4PMC2207,4783,2801,66665.176,-139742.16258136,0.0,7463.666597136005,2952.834814389993
5243,DUAL_ACCESS,UNIVERSAL,4PMC2207_4,4PMC2207,4783,2294,66665.176,-139742.16258136,0.0,7463.666597136005,2952.834814389993
5241,DUAL_ACCESS,UNIVERSAL,4PMC2208_1,4PMC2208,4783,400,66665.176,-139742.16258136,0.0,7463.666597136005,2952.834814389993
