index,seq_max,seq_last,future_max,down_amount,HUBROOMTOTAL,M16A_3F_STORAGE_UTIL,CD_M163FSTORAGEUTIL,M16A_3F_CMD
421,316.0,281.0,299.0,17.0,581.0,209.0,1.0,226.0
422,307.0,283.0,299.0,8.0,581.0,209.0,2.0,222.0
423,303.0,282.0,299.0,4.0,577.0,209.0,1.0,227.0
424,303.0,273.0,299.0,4.0,553.0,208.0,2.0,220.0
425,303.0,285.0,299.0,4.0,571.0,208.0,2.0,236.0
426,303.0,293.0,299.0,4.0,567.0,208.0,2.0,231.0
427,303.0,299.0,299.0,4.0,555.0,208.0,2.0,226.0
428,303.0,297.0,299.0,4.0,543.0,208.0,2.0,236.0
429,303.0,299.0,297.0,6.0,527.0,208.0,2.0,231.0
430,303.0,296.0,297.0,6.0,534.0,209.0,1.0,230.0
431,303.0,297.0,285.0,18.0,532.0,209.0,1.0,226.0
432,303.0,285.0,281.0,22.0,525.0,210.0,1.0,229.0
433,303.0,281.0,281.0,22.0,516.0,210.0,1.0,226.0
434,303.0,277.0,284.0,19.0,502.0,210.0,0.0,231.0
435,303.0,269.0,284.0,19.0,496.0,210.0,0.0,213.0
436,303.0,274.0,287.0,16.0,497.0,210.0,1.0,215.0
437,303.0,266.0,287.0,16.0,496.0,209.0,1.0,215.0
438,303.0,272.0,287.0,16.0,521.0,210.0,1.0,219.0
439,303.0,281.0,292.0,11.0,542.0,209.0,1.0,229.0
440,303.0,271.0,292.0,11.0,557.0,209.0,1.0,232.0
441,303.0,267.0,292.0,11.0,537.0,210.0,1.0,214.0
442,303.0,260.0,292.0,11.0,546.0,210.0,1.0,209.0
443,303.0,267.0,292.0,11.0,540.0,210.0,1.0,210.0
444,303.0,284.0,292.0,11.0,542.0,208.0,4.0,222.0
445,303.0,278.0,292.0,11.0,541.0,208.0,3.0,227.0
446,303.0,287.0,292.0,11.0,547.0,208.0,3.0,227.0
447,303.0,283.0,294.0,9.0,549.0,208.0,4.0,228.0
668,351.0,307.0,299.0,52.0,522.0,210.0,0.0,242.0
680,344.0,309.0,299.0,45.0,548.0,209.0,1.0,251.0
681,344.0,299.0,284.0,60.0,539.0,209.0,1.0,240.0
682,344.0,284.0,284.0,60.0,526.0,209.0,2.0,229.0
683,344.0,280.0,284.0,60.0,523.0,209.0,2.0,216.0
684,341.0,274.0,284.0,57.0,539.0,210.0,1.0,212.0
685,339.0,273.0,284.0,55.0,554.0,210.0,1.0,212.0
686,339.0,272.0,284.0,55.0,546.0,209.0,1.0,219.0
687,339.0,266.0,284.0,55.0,540.0,208.0,2.0,217.0
688,339.0,268.0,284.0,55.0,538.0,208.0,3.0,214.0
689,338.0,277.0,284.0,54.0,553.0,208.0,4.0,210.0
690,336.0,284.0,277.0,59.0,573.0,208.0,4.0,224.0
691,336.0,270.0,277.0,59.0,568.0,208.0,3.0,218.0
692,333.0,271.0,277.0,56.0,563.0,208.0,3.0,216.0
693,333.0,270.0,277.0,56.0,549.0,208.0,3.0,216.0
694,333.0,277.0,274.0,59.0,559.0,208.0,4.0,224.0
695,318.0,274.0,274.0,44.0,567.0,208.0,3.0,221.0
696,309.0,274.0,271.0,38.0,553.0,208.0,4.0,222.0
697,309.0,271.0,271.0,38.0,533.0,208.0,3.0,214.0
698,309.0,269.0,271.0,38.0,529.0,208.0,4.0,206.0
699,309.0,271.0,266.0,43.0,529.0,208.0,4.0,210.0
700,309.0,266.0,256.0,53.0,520.0,208.0,4.0,200.0
701,309.0,256.0,255.0,54.0,526.0,208.0,4.0,204.0
702,309.0,255.0,248.0,61.0,509.0,208.0,4.0,201.0
703,309.0,248.0,237.0,72.0,494.0,208.0,4.0,205.0
704,309.0,235.0,244.0,65.0,475.0,208.0,4.0,191.0
705,309.0,232.0,264.0,45.0,459.0,208.0,4.0,190.0
706,309.0,224.0,270.0,39.0,459.0,208.0,4.0,180.0
707,309.0,218.0,273.0,36.0,463.0,208.0,4.0,185.0
708,309.0,208.0,278.0,31.0,458.0,208.0,4.0,166.0
709,309.0,196.0,287.0,22.0,450.0,208.0,4.0,165.0
733,306.0,306.0,296.0,10.0,558.0,207.0,4.0,225.0
734,306.0,296.0,292.0,14.0,544.0,206.0,5.0,225.0
735,306.0,292.0,290.0,16.0,539.0,207.0,5.0,228.0
736,306.0,290.0,288.0,18.0,532.0,207.0,4.0,226.0
737,306.0,288.0,287.0,19.0,533.0,207.0,4.0,230.0
738,306.0,286.0,287.0,19.0,519.0,207.0,4.0,225.0
739,306.0,282.0,287.0,19.0,515.0,207.0,4.0,223.0
740,306.0,286.0,287.0,19.0,518.0,208.0,4.0,226.0
741,306.0,287.0,292.0,14.0,515.0,208.0,4.0,227.0
742,306.0,286.0,292.0,14.0,525.0,207.0,4.0,229.0
743,306.0,279.0,292.0,14.0,510.0,208.0,4.0,223.0
744,306.0,276.0,292.0,14.0,520.0,208.0,4.0,217.0
745,306.0,270.0,292.0,14.0,531.0,208.0,4.0,212.0
746,306.0,270.0,292.0,14.0,539.0,206.0,6.0,217.0
747,306.0,277.0,292.0,14.0,553.0,206.0,7.0,224.0
748,306.0,273.0,292.0,14.0,530.0,206.0,7.0,221.0
749,306.0,284.0,292.0,14.0,537.0,206.0,7.0,220.0
750,306.0,285.0,292.0,14.0,533.0,206.0,6.0,222.0
751,306.0,292.0,292.0,14.0,543.0,206.0,5.0,232.0
752,306.0,289.0,292.0,14.0,533.0,208.0,2.0,223.0
753,306.0,279.0,292.0,14.0,531.0,208.0,2.0,222.0
754,306.0,278.0,292.0,14.0,538.0,208.0,2.0,210.0
755,306.0,278.0,292.0,14.0,534.0,208.0,2.0,208.0
756,306.0,273.0,292.0,14.0,527.0,208.0,3.0,211.0
757,306.0,287.0,292.0,14.0,542.0,208.0,3.0,214.0
1670,377.0,302.0,296.0,81.0,763.0,208.0,2.0,229.0
1671,377.0,296.0,296.0,81.0,755.0,208.0,3.0,222.0
1672,377.0,296.0,293.0,84.0,752.0,208.0,2.0,222.0
1673,377.0,293.0,275.0,102.0,752.0,208.0,2.0,225.0
1674,377.0,275.0,270.0,107.0,752.0,209.0,1.0,210.0
1675,377.0,269.0,270.0,107.0,756.0,209.0,1.0,201.0
1676,375.0,269.0,270.0,105.0,766.0,210.0,1.0,201.0
1677,375.0,270.0,269.0,106.0,779.0,209.0,2.0,203.0
